Tag,EPIC,MCP,TIDE,XCELL,IntegratedScore
TCGA-02-0047-01,-0.497194566,-0.373091855,-0.010219183,0.229508511,-0.162749273
TCGA-02-0055-01,0.431469002,1.038803363,1.732709737,3.230518984,1.608375272
TCGA-02-2483-01,-0.523825293,-0.457292851,-0.228085298,0.129221251,-0.269995548
TCGA-02-2485-01,-0.554755508,-0.519318332,0.643379162,-0.675613521,-0.27657705
TCGA-02-2486-01,-0.546171065,-0.112946053,0.425513047,0.157233637,-0.019092608
TCGA-04-1357-01,-0.311455628,-0.356739883,-0.881683643,-0.276673986,-0.456638285
TCGA-04-1362-01,-0.466446211,-0.492347403,-0.663817528,-0.675613521,-0.574556166
TCGA-04-1364-01,-0.504069791,-0.498465489,-0.663817528,-0.675613521,-0.585491582
TCGA-04-1365-01,-0.478917461,-0.49552589,-0.663817528,-0.675613521,-0.5784686
TCGA-04-1514-01,-0.070252912,-0.137348372,-0.010219183,-0.197823241,-0.103910927
TCGA-04-1519-01,-0.489036248,-0.479389519,-0.663817528,0.504494151,-0.281937286
TCGA-05-4244-01,-0.239675318,-0.321592667,-0.010219183,-0.675613521,-0.311775172
TCGA-05-4249-01,-0.296094145,-0.303994058,-0.010219183,-0.345661023,-0.238992102
TCGA-05-4250-01,0.044578244,0.146354209,-0.010219183,-0.675613521,-0.123725063
TCGA-05-4382-01,0.227029056,0.333784042,0.207646932,0.832115234,0.400143816
TCGA-05-4384-01,-0.447364085,-0.396931199,-0.228085298,-0.040562058,-0.27823566
TCGA-05-4389-01,-0.447360889,-0.445661488,-0.445951413,-0.675613521,-0.503646828
TCGA-05-4390-01,-0.057221903,-0.108100575,-0.445951413,-0.381704684,-0.248244644
TCGA-05-4395-01,-0.476756212,-0.453350079,-0.445951413,-0.675613521,-0.512917806
TCGA-05-4396-01,-0.428589649,-0.405533445,-0.445951413,-0.675613521,-0.488922007
TCGA-05-4397-01,-0.494111025,-0.452949109,0.425513047,-0.273936846,-0.198870983
TCGA-05-4398-01,-0.099552954,-0.147299866,-0.010219183,-0.578102226,-0.208793558
TCGA-05-4402-01,-0.102054852,-0.135596228,0.207646932,0.033323045,0.000829724
TCGA-05-4403-01,-0.424287206,-0.355761545,-0.445951413,-0.259351546,-0.371337927
TCGA-05-4405-01,1.639254021,0.860470943,1.732709737,2.349692757,1.645531865
TCGA-05-4410-01,-0.276803173,-0.331215378,-0.663817528,0.30469905,-0.241784257
TCGA-05-4415-01,-0.456675974,-0.494637771,-0.228085298,-0.675613521,-0.463753141
TCGA-05-4417-01,1.562202196,0.996169901,0.207646932,0.866747351,0.908191595
TCGA-05-4418-01,-0.369866284,-0.345511156,-0.663817528,-0.675613521,-0.513702122
TCGA-05-4420-01,-0.316976749,-0.32119502,-0.228085298,-0.238368996,-0.276156516
TCGA-05-4422-01,-0.531646361,-0.532728992,-0.881683643,-0.675613521,-0.655418129
TCGA-05-4424-01,-0.113151779,-0.176757558,0.207646932,0.259836841,0.044393609
TCGA-05-4425-01,0.004064911,-0.033341521,0.207646932,-0.675613521,-0.1243108
TCGA-05-4426-01,-0.351307672,-0.369471174,-0.228085298,-0.647279088,-0.399035808
TCGA-05-4427-01,0.060659176,-0.127456333,0.207646932,-0.675613521,-0.133690937
TCGA-05-4430-01,0.533706092,0.518754114,0.643379162,1.088742856,0.696145556
TCGA-05-4432-01,-0.164267777,-0.216172155,-0.010219183,-0.675613521,-0.266568159
TCGA-05-4433-01,-0.518600114,-0.492517032,-0.881683643,-0.675613521,-0.642103578
TCGA-05-4434-01,-0.278625926,-0.178365762,0.207646932,0.481520845,0.058044022
TCGA-05-5420-01,-0.330647636,-0.345126051,-0.881683643,-0.640654627,-0.549527989
TCGA-05-5423-01,-0.464786899,-0.410348951,-0.881683643,0.16209119,-0.398682076
TCGA-05-5425-01,-0.339114005,-0.320488219,-0.445951413,-0.51268469,-0.404559582
TCGA-05-5428-01,-0.456304647,-0.401231161,-0.663817528,0.248774542,-0.318144699
TCGA-05-5429-01,-0.289455367,-0.161156961,-0.663817528,-0.675613521,-0.447510844
TCGA-05-5715-01,0.062009026,-0.10748611,-0.228085298,0.332412754,0.014712593
TCGA-06-0125-01,-0.50933513,-0.171744426,0.425513047,0.008391667,-0.061793711
TCGA-06-0125-02,-0.48691026,-0.010230189,1.514843622,0.517997712,0.383925221
TCGA-06-0129-01,-0.569615046,-0.532230117,-0.445951413,-0.537807762,-0.521401085
TCGA-06-0130-01,0.975121246,1.070164599,0.861245277,1.366589364,1.068280122
TCGA-06-0132-01,-0.450853059,-0.430621142,-0.445951413,0.321460121,-0.251491373
TCGA-06-0138-01,-0.542863912,-0.419123999,-0.010219183,0.397290028,-0.143729267
TCGA-06-0141-01,-0.317905944,-0.357737332,-0.445951413,0.649670712,-0.117980994
TCGA-06-0152-02,-0.427405941,-0.327972016,0.643379162,-0.30107336,-0.103268039
TCGA-06-0156-01,-0.510916889,-0.440591538,0.207646932,0.178168768,-0.141423182
TCGA-06-0157-01,-0.533253988,-0.483411674,-0.010219183,0.008397051,-0.254621948
TCGA-06-0158-01,-0.545495348,-0.283276238,0.425513047,-0.165763006,-0.142255386
TCGA-06-0168-01,-0.473912487,-0.430064487,0.207646932,-0.121745251,-0.204518824
TCGA-06-0171-02,0.125321099,-0.028924621,0.207646932,0.543360958,0.211851092
TCGA-06-0174-01,-0.543564567,-0.403233206,0.425513047,-0.473683358,-0.248742021
TCGA-06-0178-01,-0.563157191,-0.535509734,-0.228085298,1.097212585,-0.05738491
TCGA-06-0184-01,-0.4848516,-0.465007286,0.207646932,-0.218016175,-0.240057032
TCGA-06-0187-01,-0.534236038,-0.335870242,0.425513047,0.249797187,-0.048699011
TCGA-06-0190-01,0.061863951,0.361617717,1.296977507,1.019323855,0.684945758
TCGA-06-0190-02,1.786279053,3.107509847,2.604174197,3.343382358,2.710336364
TCGA-06-0210-01,-0.542778467,-0.361625803,0.207646932,0.574390038,-0.030591825
TCGA-06-0210-02,-0.471972538,-0.368253335,-0.010219183,0.346655848,-0.125947302
TCGA-06-0211-01,-0.536317633,-0.450164777,0.643379162,-0.185435194,-0.13213461
TCGA-06-0211-02,-0.39786522,-0.214819303,0.643379162,0.034987387,0.016420507
TCGA-06-0219-01,-0.566028398,-0.506068365,-0.228085298,-0.147682171,-0.361966058
TCGA-06-0221-02,-0.387190291,-0.423403643,-0.228085298,-0.480068539,-0.379686943
TCGA-06-0238-01,-0.554460346,-0.514999741,-0.663817528,-0.568685381,-0.575490749
TCGA-06-0644-01,0.164027682,1.019577407,1.732709737,0.319844103,0.809039732
TCGA-06-0645-01,-0.413034865,-0.243150055,0.425513047,0.807085253,0.144103345
TCGA-06-0646-01,-0.52844954,-0.345573659,-0.010219183,-0.445056688,-0.332324767
TCGA-06-0649-01,-0.46640596,-0.407207572,-0.228085298,0.376813995,-0.181221209
TCGA-06-0686-01,-0.531519472,-0.446755486,-0.228085298,-0.655827483,-0.465546935
TCGA-06-0743-01,-0.52579078,-0.493548033,-0.445951413,1.01849317,-0.111699264
TCGA-06-0744-01,-0.552513832,-0.473100552,-0.445951413,0.463833443,-0.251933088
TCGA-06-0745-01,-0.518689101,-0.415574734,-0.010219183,0.867224725,-0.019314573
TCGA-06-0747-01,-0.55698896,-0.407384695,1.079111392,-0.524724615,-0.10249672
TCGA-06-0749-01,-0.56413696,-0.54337949,-0.228085298,-0.116186599,-0.362947087
TCGA-06-0750-01,-0.37299454,-0.163675659,0.643379162,1.427008865,0.383429457
TCGA-06-0878-01,-0.490240445,-0.3179062,0.861245277,-0.148128673,-0.02375751
TCGA-06-0882-01,-0.518527205,-0.47370226,-0.228085298,-0.516739585,-0.434263587
TCGA-06-1804-01,-0.537599076,-0.537550674,-0.228085298,0.521651404,-0.195395911
TCGA-06-2557-01,-0.542054029,-0.505410053,-0.228085298,0.079947585,-0.298900449
TCGA-06-2558-01,-0.523299768,-0.423107294,-0.228085298,-0.233504202,-0.351999141
TCGA-06-2559-01,-0.537588407,-0.290823407,0.643379162,-0.611754652,-0.199196826
TCGA-06-2561-01,-0.533871861,-0.516711336,-0.228085298,-0.334773817,-0.403360578
TCGA-06-2562-01,-0.424780545,-0.27673523,0.425513047,-0.499912416,-0.193978786
TCGA-06-2563-01,-0.494038288,-0.447820675,0.207646932,-0.431071931,-0.291320991
TCGA-06-2564-01,-0.526385073,-0.30174782,0.425513047,-0.309552896,-0.178043185
TCGA-06-2565-01,-0.534091038,-0.430609717,0.643379162,-0.074562968,-0.09897114
TCGA-06-2567-01,-0.509563055,-0.487110768,0.207646932,0.314787084,-0.118559952
TCGA-06-2569-01,0.364068523,0.334086014,1.079111392,4.334279477,1.527886352
TCGA-06-2570-01,-0.534414183,-0.49015098,-0.445951413,-0.083823372,-0.388584987
TCGA-06-5408-01,-0.52605681,-0.426384618,1.296977507,-0.330205417,0.003582666
TCGA-06-5410-01,-0.413083458,-0.407480364,0.207646932,-0.198717946,-0.202908709
TCGA-06-5411-01,-0.532082576,-0.455943079,-0.228085298,-0.675613521,-0.472931119
TCGA-06-5412-01,-0.484855201,-0.137894759,0.861245277,-0.263009129,-0.006128453
TCGA-06-5413-01,-0.256075337,-0.112628633,0.861245277,1.043540421,0.384020432
TCGA-06-5414-01,-0.523357785,-0.334583345,1.079111392,-0.39378787,-0.043154402
TCGA-06-5416-01,-0.533503662,-0.467095975,-0.010219183,-0.543935625,-0.388688612
TCGA-06-5417-01,-0.56568594,-0.544567159,0.425513047,-0.675613521,-0.340088393
TCGA-06-5418-01,-0.531455791,-0.430272587,0.861245277,0.242853426,0.035592581
TCGA-06-5856-01,-0.517711628,-0.391107391,1.079111392,-0.663893008,-0.123400159
TCGA-06-5858-01,-0.484018572,-0.398115648,0.425513047,-0.440244669,-0.224216461
TCGA-06-5859-01,-0.562852516,-0.550262546,0.643379162,-0.306800982,-0.194134221
TCGA-08-0386-01,-0.514869073,-0.404646396,0.207646932,-0.281723932,-0.248398117
TCGA-09-0364-01,-0.389191167,-0.348233565,-0.663817528,0.050358578,-0.33772092
TCGA-09-0366-01,-0.523625127,-0.480261543,-0.663817528,-0.675613521,-0.58582943
