CancerType	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
EPITHELIAL_MESENCHYMAL_TRANSITION	0.722103213	0.938376873	0.896764414	0.839007253	0.917631918	0.884848124	0.823382545	0.877743271	0.832290423	0.914274057	0.812543706	0.92245598	0.729594923	0.63078649	0.691524422	0.898282406	0.867894354	0.918235847	0.81631209	0.937487275	0.891773861	0.834680811	0.87121133	0.914005942	0.817450494	0.842561202	0.893254348	0.937074537	0.889354331	0.874063524	0.820551119	0.790225564	0.692639475
ANGIOGENESIS	0.623563778	0.855874349	0.755206647	0.732883845	0.876705277	0.81391528	0.707881025	0.587482747	0.78171722	0.823535262	0.825131119	0.757817202	0.692131946	0.517481499	0.647577379	0.847916867	0.701708431	0.795311401	0.656323411	0.799918418	0.444884957	0.8108677	0.759241989	0.85323373	0.570467119	0.719132881	0.697365773	0.860388462	0.819364311	0.810048426	0.644133372	0.639576213	0.703281763
APICAL_JUNCTION	0.551314508	0.838284501	0.718695885	0.664340632	0.883140283	0.715946026	0.577507599	0.8284219	0.534329472	0.787790863	0.705550699	0.779550147	0.403874247	0.172500394	0.59230936	0.77361804	0.662727649	0.737431591	0.684645502	0.779444451	0.812204602	0.761634549	0.78183233	0.747018121	0.43859139	0.65354183	0.781651876	0.872879684	0.791943636	0.637544509	0.630998633	0.584347232	0.420839194
COAGULATION	0.45053554	0.82509185	0.787220188	0.628995208	0.406949807	0.706350542	0.631458967	0.357766851	0.720038214	0.7641116	0.70034965	0.632790649	0.524890588	0.39905133	0.664983416	0.531751411	0.612660093	0.763769449	0.505354026	0.800797863	0.457443171	0.745207457	0.750611443	0.731009831	0.576659921	0.641399797	0.523397227	0.823014356	0.813786648	0.770303376	0.478734768	0.301640465	0.595194562
UV_RESPONSE_DN	0.650632911	0.698541559	0.667012757	0.632524197	0.788674389	0.692269852	0.46363439	0.638227513	0.548352042	0.758680187	0.525087413	0.568096557	0.531264945	0.481365139	0.49057131	0.648205209	0.469219746	0.724109073	0.635114864	0.672750911	0.671281228	0.676565606	0.714998358	0.711816673	0.40128539	0.548320473	0.647638715	0.828056358	0.439711111	0.676513317	0.526593719	0.652631579	0.418776371
KRAS_SIGNALING_UP	0.377166504	0.759794528	0.625443236	0.503247935	0.767052767	0.662643944	0.400673035	0.298697378	0.681385837	0.652746067	0.660227273	0.661376039	0.560952502	0.183463234	0.573010587	0.689229374	0.627557407	0.791298519	0.509976886	0.727807438	0.583436488	0.630132028	0.716663501	0.736513829	0.483698828	0.578258085	0.649427937	0.629558647	0.759443058	0.682602193	0.47740407	0.308749146	0.593225504
HYPOXIA	0.393743914	0.652155876	0.6169837	0.418412937	0.775546976	0.56127307	0.556882327	0.588857258	0.665392883	0.530720363	0.65201049	0.583243208	0.572105241	0.335510156	0.599277926	0.63011724	0.571850753	0.635688623	0.396480966	0.684887114	0.546153547	0.69650158	0.679097772	0.681219379	0.490364758	0.478398183	0.63413789	0.834737544	0.68928009	0.763260219	0.323900199	0.424606972	0.609024848
MYOGENESIS	0.541431353	0.807800956	0.637499833	0.662012746	0.728700129	0.689723762	0.417933131	0.759969519	0.513261285	0.571728751	0.629108392	0.64250622	0.492764107	0.298929302	0.507791725	0.761147209	0.509804405	0.642963953	0.411991132	0.685680312	0.596635273	0.741554202	0.641784404	0.707965449	-0.04533675	0.49522407	0.724358934	0.887639451	0.428092033	0.742850021	0.542637045	0.543267259	0.320065635
TGF_BETA_SIGNALING	0.455185005	0.522128394	0.669827822	0.565967162	0.804890605	0.608493039	0.340859748	0.50555268	0.604827442	0.594955084	0.414423077	0.428519416	0.407950339	0.295870729	0.413395195	0.703884269	0.48470185	0.704215569	0.581451955	0.666086497	0.592558127	0.712962149	0.665470099	0.686707636	0.454250212	0.658612835	0.55508526	0.787386106	0.553615291	0.717682666	0.59680703	0.443198906	0.559587436
APOPTOSIS	0.475438169	0.66567363	0.586853674	0.47189665	0.649420849	0.56469304	0.298415111	0.42515528	0.671566754	0.371894256	0.654895105	0.628044297	0.663942406	0.241891041	0.676355833	0.723916604	0.553960261	0.705183005	0.340742488	0.603844533	0.560652949	0.67694223	0.656717264	0.64906638	0.423265484	0.447538293	0.575334662	0.712613005	0.745011926	0.687686939	0.464541183	0.258920027	0.603656821
IL2_STAT5_SIGNALING	0.342989289	0.664327809	0.459735553	0.378578324	0.506821107	0.488711427	-0.080655667	0.309193122	0.620309888	0.423194557	0.680026224	0.458127265	0.589665996	0.153503385	0.541403282	0.571412357	0.472751156	0.667506072	0.459182037	0.57386987	0.593423763	0.616891595	0.645073433	0.560677112	0.443848295	0.422579434	0.544175825	0.441329837	0.678277502	0.639474434	0.395648677	0.318796992	0.604664791
NOTCH_SIGNALING	0.498831548	0.396251985	0.578040301	0.496627342	0.406435006	0.548268247	0.409683022	0.274292616	0.03663721	0.67007404	0.27381993	0.513954139	0.360780395	0.255751063	0.069198497	0.692479855	0.432906431	0.520243529	0.515845087	0.368257822	0.603536556	0.650955161	0.588617466	0.534728571	0.297067295	0.473836315	0.593800806	0.824333526	0.542855802	0.624547785	0.456798191	0.421667806	0.494678856
TNFA_SIGNALING_VIA_NFKB	0.392624148	0.566595262	0.436381281	0.288936348	0.688545689	0.407204807	0.201584889	0.32505176	0.635831144	0.306628683	0.521634615	0.375136447	0.512855214	0.120059833	0.541947738	0.622126631	0.496228889	0.626374407	0.268890042	0.55402014	0.505786777	0.511895047	0.469019436	0.491848286	0.43366671	0.410786854	0.424382389	0.565338904	0.68601468	0.709322034	0.278785091	0.274914559	0.535794655
INFLAMMATORY_RESPONSE	0.314459591	0.630258234	0.393947283	0.295687218	0.561904762	0.491368634	0.139709075	0.396189901	0.603233222	0.377277189	0.623426573	0.446131172	0.553239373	0.102688553	0.547865705	0.577040539	0.521563255	0.656521888	0.140846266	0.540686363	0.566764339	0.563013412	0.575971878	0.53492533	0.430548898	0.416962181	0.486526645	0.236243389	0.694092896	0.576171486	0.231955905	0.261927546	0.530754805
COMPLEMENT	0.335491723	0.655837846	0.427224001	0.268787534	0.511196911	0.513110879	0.124945723	0.210904072	0.577791378	0.391226621	0.67263986	0.510066218	0.558712007	0.229396945	0.599806374	0.463502351	0.494939993	0.644886132	0.10067456	0.553899958	0.474729922	0.623882158	0.645696451	0.5409409	0.393597226	0.367631686	0.395071268	0.344497089	0.691842826	0.582224754	0.270402459	0.199658237	0.570604782
APICAL_SURFACE	0.21630964	0.654024512	0.556009028	0.377466491	0.65997426	0.432609507	0.270625271	0.50471302	0.481973967	0.340781107	0.079632867	0.408749898	0.419622009	0.344048181	0.240014353	0.641089494	0.581469906	0.474734929	0.321854804	0.543736851	0.466432801	0.593974013	0.598558657	0.406727837	0.416839226	0.344522534	0.499827673	0.681272945	0.610514428	0.559557043	0.385702246	0.331168831	0.37177684
IL6_JAK_STAT3_SIGNALING	0.266699124	0.606543903	0.30122877	0.21199865	0.478249678	0.382060183	0.088688667	0.166994479	0.583445785	0.291311725	0.640384615	0.342915264	0.507484558	0.082420091	0.48560142	0.486579545	0.435643994	0.608837751	0.028539082	0.424280043	0.463794775	0.522672776	0.523565385	0.355255754	0.390489774	0.376140452	0.379611475	0.145348682	0.65066435	0.579860419	0.174496727	0.314832536	0.551101735
HEDGEHOG_SIGNALING	0.283812074	0.44782006	0.398457735	0.430207417	0.414414414	0.475518412	0.074685193	0.622046814	-0.015371985	0.579407534	0.017351399	0.390032824	0.425149902	0.410577074	-0.198064997	0.479812566	0.357475005	0.302797815	0.609981603	0.308854968	0.177269265	0.375278807	0.440478014	0.562791613	0.053080169	0.18969229	0.490319336	0.644154851	0.292913237	0.538149836	0.372843256	0.262337662	0.170276606
