CancerType	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ENTPD1	0.219232397	0.72563962	0.633699086	0.448932547	0.658731582	0.787864344	0.137392156	0.441241999	0.316828923	0.59720882	0.472456989	0.516539978	0.490339503	0.20526481	0.376493016	0.735268497	0.625657205	0.712057849	0.542697729	0.419079099	0.770102939	0.687566347	0.692151137	0.774425427	0.080582972	0.353338945	0.592386451	0.356614183	0.090924851	0.644603411	0.47972298	0.32534977	-0.207287296
TGFB1	0.520964199	0.424906134	0.578351404	0.409530234	0.707993049	0.729422533	0.207373334	0.573826448	0.432619597	0.376659698	0.504974161	0.558070281	0.49300329	-0.128162846	0.31924266	0.520024451	0.460180971	0.378246694	0.322814403	0.395013121	0.654050299	0.591703643	0.687158917	0.787717512	0.509773041	0.470711063	0.617851206	0.312367874	0.320439549	0.264980674	0.551148774	0.233900519	0.582927513
CD276	0.232752033	0.397073662	0.50109952	0.275398228	0.304672489	0.518879029	0.533954034	0.418888629	0.479180935	0.504533425	0.470598677	0.568427176	0.192740859	0.386440208	0.438420756	0.329334032	0.344219886	0.195526998	0.588731794	0.184178718	0.700926035	0.391963985	0.018713132	0.565005149	0.50744807	0.260699162	0.386848658	0.471106379	0.560458839	0.644694888	0.251398313	0.39301775	0.383593555
TNFSF4	-0.103346941	0.75603757	0.579863412	0.491854134	0.324794718	0.814689899	-0.024717072	0.541921021	0.507110515	0.537366206	0.201440091	0.289473836	0.183217191	-0.17980474	0.21871828	0.149569195	0.588729016	0.581798748	0.587684313	0.531018363	0.781253725	-0.021860337	0.17294343	0.810058301	0.377761221	0.073670646	0.605297863	0.491382661	0.628275118	0.047369023	0.321734259	0.520715169	0.365260311
IL2RA	0.351504503	0.622386284	0.18843174	0.322540911	0.538892806	0.528033551	-0.017283146	0.47329227	0.551015317	0.393846773	0.557044011	0.503357103	0.497155098	-0.156697999	0.402454659	0.410578031	0.427189487	0.524904576	0.293277896	0.507444506	0.638347986	0.504702394	0.422276391	0.501044025	0.352404522	0.300795444	0.33569066	-0.110727706	0.653300988	0.427725384	0.295790703	0.183305442	0.299399435
HAVCR2	0.406171633	0.653224121	0.399699709	0.25133499	0.451894122	0.690804052	0.095571191	0.525535337	0.191445096	0.385472246	0.394613512	0.055980477	0.176734507	-0.192062576	0.342067711	0.487076681	0.457231959	0.540678736	0.083231212	0.436616841	0.751061467	0.482069153	0.541609947	0.755153782	0.433543465	0.229963026	0.51630839	0.024811443	0.536885006	0.491768932	0.260232982	0.221453243	0.476918017
ITGB2	0.349334173	0.676604483	0.308869568	0.224433169	0.473130364	0.706452407	0.083847684	0.536862505	0.302881693	0.375514262	0.60327901	0.283792903	0.341276693	-0.084365514	0.383189716	0.44979735	0.374075106	0.539022304	0.077302586	0.420084807	0.719517113	0.471733327	0.515541256	0.68272673	0.381084062	0.287844346	0.487283099	-0.113904345	0.565831266	-0.210072842	0.241841712	0.205304417	0.508154504
IL10	0.380063862	0.636388522	0.282505158	0.372745083	0.520438102	0.511364676	-0.027914425	0.419234816	0.463049778	0.491802585	0.530505875	0.357412393	0.413291607	0.076507766	0.36551252	0.330455742	0.299294155	0.485444852	0.143072629	0.457508266	0.533567757	0.371540306	0.392114639	0.509555839	0.455920271	0.218012339	0.369669386	-0.106828899	0.414533283	0.285683222	0.406085581	0.327144138	0.389508673
ICAM1	0.328010583	0.597883965	0.286254476	0.236815484	0.487665396	0.607307755	0.104881196	0.3296948	0.497293092	0.32468747	0.642663059	0.265250193	0.339605703	-0.034398282	0.573654765	0.340148401	0.257773656	0.473585542	0.117634849	0.31979431	0.680069134	0.490631941	0.399519075	0.653108126	0.345104526	0.064690632	0.347350504	0.122285205	0.594028322	0.482404658	0.232961613	0.176582111	0.388300793
TLR4	0.366891404	0.20111933	0.495954245	0.419520183	0.66040629	0.259742222	0.235388695	0.448684637	0.085617614	0.583873516	0.128499826	0.184338168	0.34495248	0.131051234	-0.022043789	0.442154643	0.433245173	0.517362639	0.281813581	0.463596817	0.624474515	0.215449253	0.583423462	0.272928428	0.394682062	0.360142135	0.48731755	0.261378383	0.288946487	0.516412373	0.315391941	0.326384228	0.07462651
CD28	0.302287577	0.559720308	0.282249394	0.282150507	0.464769086	0.494322339	-0.15377988	0.318296699	0.37094684	0.348055079	0.598696873	0.343450686	0.346966637	0.122081792	0.427578273	0.284127815	0.38183357	0.535254505	0.208116695	0.360964201	0.540092794	0.494577872	0.379788061	0.463378314	0.400749329	0.306795217	0.338698547	-0.183170995	0.510076429	-0.359443037	0.274304598	0.449834862	0.357461013
TNFRSF9	0.124314344	0.563152659	0.309360562	0.198576959	0.456805297	0.560482344	0.03955404	0.3622197	0.372786077	0.396669676	0.479721551	0.10347472	0.373969687	0.138512024	0.278218633	0.223281987	0.382593657	0.474600003	0.295282749	0.418927109	0.691390262	0.349902333	0.360833056	0.454656735	0.524097038	0.032557065	0.326156618	-0.224600248	0.530909323	0.420934609	0.179592453	0.060917356	0.41098456
TNFRSF4	0.339936696	0.581650614	0.249334559	0.289130634	0.347373001	0.61538009	-0.084148409	0.377774743	0.360450573	0.26350227	0.298164888	0.313130435	0.428473739	0.126141591	0.377961951	0.297258617	0.347298242	0.349223865	0.331519999	0.265075167	0.41035493	0.558373936	0.388538437	0.598311123	0.155553872	0.168837418	0.348949781	0.117658609	0.213954608	0.335813635	0.232993609	0.187815357	0.368056289
C10orf54	0.272531271	0.334821647	0.364957161	0.118707231	0.474476131	0.473594376	0.069268094	0.128166965	0.073422357	0.060929145	0.536716736	0.30487244	0.272592762	-0.033840163	0.124739446	0.488655037	0.398161283	0.507566893	-0.341194156	0.297520365	0.459356431	0.610344535	0.707965899	0.568342939	0.251799339	0.409755588	0.270034884	0.396487751	0.102232783	0.410800523	0.365918738	0.38859209	0.581612623
SELP	0.315591172	0.343289578	0.329435523	0.323616751	0.230489147	0.622898457	-0.020596316	0.167011709	0.389033811	0.19194129	0.050950253	0.398360252	0.441536898	0.108446414	0.317209776	0.554877959	0.213441463	0.30704238	0.121226673	0.433206911	0.216387656	0.377722492	0.640717007	0.419876139	0.191913993	0.251442855	0.456913905	0.151024125	0.476103271	0.377641949	0.44790957	0.207402685	0.257467885
CD80	0.120714645	0.511632473	0.191687396	0.304701749	0.220754353	0.460396805	0.063934208	0.436126893	0.096896244	0.336858961	0.287615351	0.213432188	0.392444832	0.140217935	0.378138281	0.389160774	0.404461598	0.500654599	0.055580048	0.315593838	0.621197876	0.369236376	0.340278057	0.479079965	0.340059103	0.250954286	0.240892875	-0.175239218	0.556627177	0.296287332	0.197205192	0.133268694	0.320648294
CXCL9	0.506677253	0.486566319	0.192965401	0.18790787	0.249253055	0.439356507	-0.093185458	0.263693941	0.126415504	0.191366547	0.328274047	0.138726206	0.436199348	0.352784738	0.548448847	0.208652292	0.179760481	0.276042874	0.084482607	0.329982513	0.491934851	0.378761007	0.258237883	0.450706965	0.319777698	0.037542608	0.206183658	-0.334480217	0.411668229	0.487177049	0.267572076	0.158461739	0.462971325
CD70	0.2060401	0.495532154	0.291850773	0.170603083	0.362950013	0.549258775	-0.023655649	0.279297019	0.408727248	0.137989636	0.649062205	0.163930414	0.125527069	0.024382427	0.320751798	0.30440561	0.314527131	0.230368075	0.17126329	0.311390035	0.579405678	0.202914964	0.26642376	0.481520065	0.29062004	0.013748166	0.229030996	-0.059279186	0.553798312	0.381471133	0.082400999	-0.174535626	0.266203623
CCL5	0.424736181	0.522737792	0.166810822	0.028919302	0.22850582	0.363679191	-0.008299492	0.231991221	0.3195742	0.112140494	0.387178346	0.183405137	0.386133932	0.030267327	0.527443774	0.314662538	0.179290699	0.327343929	-0.000875772	0.338238628	0.519114548	0.389568496	0.430078022	0.37989127	0.203144739	0.048384626	0.28567994	-0.179638374	0.352900434	0.275236956	0.166389339	0.125330421	0.481004639
SLAMF7	0.409735714	0.368171267	0.207493266	0.203110349	0.395122901	0.423280248	-0.144859383	0.158465583	0.199288726	0.132449336	0.453559814	0.181727295	0.40634838	0.192099603	0.399133194	0.36049009	0.317169241	0.430684379	-0.015370092	0.290934283	0.506915111	0.379394555	0.401565563	0.345164487	0.285625419	-0.011420852	0.195561282	-0.30914094	0.36160271	0.321492099	0.258823408	0.104210278	0.28438497
ICOS	0.36313103	0.444893404	0.192899405	0.217253227	0.291866256	0.411091333	-0.126278129	0.325076495	0.160652063	0.23735127	0.418238076	0.13135389	0.354790779	0.14409533	0.430003556	0.27852392	0.301887103	0.450331627	0.091211135	0.358036679	0.617793684	0.291055184	0.338708121	0.395226495	0.262114699	0.048774833	0.167934009	-0.229744115	0.596139632	-0.314616233	0.228791164	0.128527382	0.394546561
CD40	0.223396878	0.200901306	0.338257144	0.264350148	0.092771843	0.446841316	0.175462629	0.340751135	0.52622613	0.160936896	0.171958519	0.191477267	-0.028410083	0.096819258	0.536985616	0.137518541	0.330263746	0.197801735	0.08446573	0.184993128	0.603372684	0.094545396	0.592879615	0.462064685	0.19052255	0.126912776	0.277056295	-0.081849553	0.374314223	0.54541074	0.246755364	0.125373688	0.10672862
TIGIT	0.378613279	0.448345914	0.217711021	0.087504634	0.269701705	0.436297301	-0.203399067	0.279075693	0.135653484	0.165534251	0.356248579	0.164365863	0.448834648	0.170267509	0.096481945	0.282101487	0.266995078	0.293821957	0.057992183	0.286642013	0.597611592	0.173532815	0.350828413	0.447236584	0.284081935	0.034588006	0.269047951	-0.268130722	0.555536986	0.377030231	0.23248524	0.095194587	0.424786188
CTLA4	0.280208202	0.467518026	0.216250784	0.197077698	0.190533834	0.432233218	-0.166578221	0.261494336	0.210926458	0.169847789	0.441199416	0.119377246	0.325868217	0.09469146	0.304796	0.236779604	0.249307141	0.383444107	0.066724101	0.34352296	0.59324743	0.151690717	0.326179554	0.302957579	0.265434932	-0.035427681	0.13849879	-0.25471993	0.584101068	0.301298717	0.190526925	0.162584803	0.37594536
